method,dataset,model_a,model_b,similarity_score,test_loss_diff
graph_structural_with_params,breast_cancer,C5,C10,0.40476190476190477,0.006553021259605905
graph_structural_with_params,breast_cancer,C6,C7,0.75,0.0116824358701706
graph_structural_with_params,breast_cancer,C6,C8,0.75,0.004592408891767201
graph_structural_with_params,breast_cancer,C6,C9,0.48809523809523814,0.006645694840699497
graph_structural_with_params,breast_cancer,C6,C10,0.6309523809523809,0.0033749286085367064
graph_structural_with_params,breast_cancer,C7,C8,0.75,0.0162748447619378
graph_structural_with_params,breast_cancer,C7,C9,0.5595238095238095,0.0050367410294711035
graph_structural_with_params,breast_cancer,C7,C10,0.7023809523809523,0.015057364478707307
graph_structural_with_params,breast_cancer,C8,C9,0.48809523809523814,0.011238103732466698
graph_structural_with_params,breast_cancer,C8,C10,0.6309523809523809,0.0012174802832304946
graph_structural_with_params,breast_cancer,C9,C10,0.7142857142857143,0.010020623449236203
string,breast_cancer,C1,C2,0.971830985915493,0.006813233718276107
string,breast_cancer,C1,C3,0.7865168539325843,0.011759002692997497
string,breast_cancer,C1,C4,0.7696629213483146,0.0183396451175213
string,breast_cancer,C1,C5,0.39106145251396646,0.015014234930276898
string,breast_cancer,C1,C6,0.5292620865139949,0.018192327581346097
string,breast_cancer,C1,C7,0.5241730279898219,0.006509891711175497
string,breast_cancer,C1,C8,0.5822784810126582,0.0227847364731133
string,breast_cancer,C1,C9,0.5046728971962616,0.0115466327406466
string,breast_cancer,C1,C10,0.32558139534883723,0.021567256189882804
string,breast_cancer,C2,C3,0.39325842696629215,0.00494576897472139
string,breast_cancer,C2,C4,0.7921348314606742,0.011526411399245193
string,breast_cancer,C2,C5,0.7821229050279329,0.008201001212000791
string,breast_cancer,C2,C6,0.356234096692112,0.01137909386306999
string,breast_cancer,C2,C7,0.7175572519083969,0.0003033420071006099
string,breast_cancer,C2,C8,0.7088607594936709,0.01597150275483719
string,breast_cancer,C2,C9,0.5934579439252337,0.004733399022370494
string,breast_cancer,C2,C10,0.6604651162790698,0.014754022471606697
string,breast_cancer,C3,C4,0.9626168224299065,0.006580642424523803
string,breast_cancer,C3,C5,0.32558139534883723,0.0032552322372794013
string,breast_cancer,C3,C6,0.9118279569892473,0.0064333248883486
string,breast_cancer,C3,C7,0.6408602150537634,0.005249110981822
string,breast_cancer,C3,C8,0.42398286937901497,0.011025733780115801
string,breast_cancer,C3,C9,0.644,0.0002123699523508965
string,breast_cancer,C3,C10,0.2788844621513944,0.009808253496885307
string,breast_cancer,C4,C5,0.6465116279069767,0.0033254101872444014
string,breast_cancer,C4,C6,0.3010752688172043,0.00014731753617520243
string,breast_cancer,C4,C7,0.9118279569892473,0.011829753406345803
string,breast_cancer,C4,C8,0.5952890792291221,0.0044450913555919985
string,breast_cancer,C4,C9,0.72,0.006793012376874699
string,breast_cancer,C4,C10,0.42231075697211157,0.003227611072361504
string,breast_cancer,C5,C6,0.37259100642398285,0.003178092651069199
string,breast_cancer,C5,C7,0.5952890792291221,0.008504343219101401
string,breast_cancer,C5,C8,0.9125799573560768,0.0077705015428364
string,breast_cancer,C5,C9,0.7131474103585658,0.0034676021896302978
string,breast_cancer,C5,C10,0.3968253968253968,0.006553021259605905
string,breast_cancer,C6,C7,0.9083665338645418,0.0116824358701706
string,breast_cancer,C6,C8,0.9126984126984127,0.004592408891767201
string,breast_cancer,C6,C9,0.3947858472998138,0.006645694840699497
string,breast_cancer,C6,C10,0.2597402597402597,0.0033749286085367064
string,breast_cancer,C7,C8,0.5515873015873016,0.0162748447619378
string,breast_cancer,C7,C9,0.4022346368715084,0.0050367410294711035
string,breast_cancer,C7,C10,0.5120593692022264,0.015057364478707307
string,breast_cancer,C8,C9,0.3228200371057514,0.011238103732466698
string,breast_cancer,C8,C10,0.36968576709796674,0.0012174802832304946
string,breast_cancer,C9,C10,0.5993031358885017,0.010020623449236203
graph_structural,california_housing,R1,R2,1.0,0.002337945870650837
graph_structural,california_housing,R1,R3,1.0,0.022921078773432024
graph_structural,california_housing,R1,R4,0.55,0.057263130538685425
graph_structural,california_housing,R1,R5,0.55,0.07480058974997944
graph_structural,california_housing,R1,R6,0.45,0.04857998116071843
graph_structural,california_housing,R1,R7,0.55,0.08353093405102574
graph_structural,california_housing,R1,R8,0.45,0.05111893370401033
graph_structural,california_housing,R1,R9,0.38095238095238093,0.09310685958742171
graph_structural,california_housing,R1,R10,0.38095238095238093,0.023240709316360852
graph_structural,california_housing,R2,R3,1.0,0.020583132902781187
graph_structural,california_housing,R2,R4,0.55,0.05492518466803459
graph_structural,california_housing,R2,R5,0.55,0.0724626438793286
graph_structural,california_housing,R2,R6,0.45,0.046242035290067596
graph_structural,california_housing,R2,R7,0.55,0.0811929881803749
graph_structural,california_housing,R2,R8,0.45,0.04878098783335949
graph_structural,california_housing,R2,R9,0.38095238095238093,0.09076891371677087
graph_structural,california_housing,R2,R10,0.38095238095238093,0.020902763445710015
graph_structural,california_housing,R3,R4,0.55,0.0343420517652534
graph_structural,california_housing,R3,R5,0.55,0.051879510976547416
graph_structural,california_housing,R3,R6,0.45,0.02565890238728641
graph_structural,california_housing,R3,R7,0.55,0.060609855277593716
graph_structural,california_housing,R3,R8,0.45,0.028197854930578303
graph_structural,california_housing,R3,R9,0.38095238095238093,0.07018578081398968
graph_structural,california_housing,R3,R10,0.38095238095238093,0.0003196305429288282
graph_structural,california_housing,R4,R5,1.0,0.017537459211294015
graph_structural,california_housing,R4,R6,0.8166666666666667,0.008683149377966992
graph_structural,california_housing,R4,R7,1.0,0.026267803512340315
graph_structural,california_housing,R4,R8,0.8166666666666667,0.0061441968346750975
graph_structural,california_housing,R4,R9,0.6904761904761905,0.035843729048736284
graph_structural,california_housing,R4,R10,0.6904761904761905,0.03402242122232457
graph_structural,california_housing,R5,R6,0.8166666666666667,0.026220608589261007
graph_structural,california_housing,R5,R7,1.0,0.0087303443010463
graph_structural,california_housing,R5,R8,0.8166666666666667,0.023681656045969113
graph_structural,california_housing,R5,R9,0.6904761904761905,0.01830626983744227
graph_structural,california_housing,R5,R10,0.6904761904761905,0.05155988043361859
graph_structural,california_housing,R6,R7,0.8166666666666667,0.03495095289030731
graph_structural,california_housing,R6,R8,1.0,0.0025389525432918947
graph_structural,california_housing,R6,R9,0.8452380952380952,0.044526878426703276
graph_structural,california_housing,R6,R10,0.8452380952380952,0.02533927184435758
graph_structural,california_housing,R7,R8,0.8166666666666667,0.03241200034701541
graph_structural,california_housing,R7,R9,0.6904761904761905,0.009575925536395968
graph_structural,california_housing,R7,R10,0.6904761904761905,0.06029022473466489
graph_structural,california_housing,R8,R9,0.8452380952380952,0.04198792588341138
graph_structural,california_housing,R8,R10,0.8452380952380952,0.027878224387649475
graph_structural,california_housing,R9,R10,1.0,0.06986615027106086
graph_structural_with_params,california_housing,R1,R2,0.6666666666666666,0.002337945870650837
graph_structural_with_params,california_housing,R1,R3,0.6666666666666666,0.022921078773432024
graph_structural_with_params,california_housing,R1,R4,0.35,0.057263130538685425
graph_structural_with_params,california_housing,R1,R5,0.35,0.07480058974997944
graph_structural_with_params,california_housing,R1,R6,0.2833333333333333,0.04857998116071843
graph_structural_with_params,california_housing,R1,R7,0.35,0.08353093405102574
graph_structural_with_params,california_housing,R1,R8,0.2833333333333333,0.05111893370401033
graph_structural_with_params,california_housing,R1,R9,0.23809523809523808,0.09310685958742171
graph_structural_with_params,california_housing,R1,R10,0.23809523809523808,0.023240709316360852
graph_structural_with_params,california_housing,R2,R3,0.6666666666666666,0.020583132902781187
graph_structural_with_params,california_housing,R2,R4,0.45,0.05492518466803459
graph_structural_with_params,california_housing,R2,R5,0.35,0.0724626438793286
graph_structural_with_params,california_housing,R2,R6,0.2833333333333333,0.046242035290067596
graph_structural_with_params,california_housing,R2,R7,0.35,0.0811929881803749
graph_structural_with_params,california_housing,R2,R8,0.2833333333333333,0.04878098783335949
graph_structural_with_params,california_housing,R2,R9,0.23809523809523808,0.09076891371677087
graph_structural_with_params,california_housing,R2,R10,0.23809523809523808,0.020902763445710015
graph_structural_with_params,california_housing,R3,R4,0.35,0.0343420517652534
graph_structural_with_params,california_housing,R3,R5,0.45,0.051879510976547416
graph_structural_with_params,california_housing,R3,R6,0.3666666666666667,0.02565890238728641
graph_structural_with_params,california_housing,R3,R7,0.35,0.060609855277593716
graph_structural_with_params,california_housing,R3,R8,0.2833333333333333,0.028197854930578303
graph_structural_with_params,california_housing,R3,R9,0.30952380952380953,0.07018578081398968
graph_structural_with_params,california_housing,R3,R10,0.30952380952380953,0.0003196305429288282
graph_structural_with_params,california_housing,R4,R5,0.7,0.017537459211294015
graph_structural_with_params,california_housing,R4,R6,0.48333333333333334,0.008683149377966992
graph_structural_with_params,california_housing,R4,R7,0.7,0.026267803512340315
graph_structural_with_params,california_housing,R4,R8,0.48333333333333334,0.0061441968346750975
graph_structural_with_params,california_housing,R4,R9,0.47619047619047616,0.035843729048736284
graph_structural_with_params,california_housing,R4,R10,0.40476190476190477,0.03402242122232457
graph_structural_with_params,california_housing,R5,R6,0.5666666666666667,0.026220608589261007
graph_structural_with_params,california_housing,R5,R7,0.7,0.0087303443010463
graph_structural_with_params,california_housing,R5,R8,0.48333333333333334,0.023681656045969113
graph_structural_with_params,california_housing,R5,R9,0.5476190476190476,0.01830626983744227
graph_structural_with_params,california_housing,R5,R10,0.47619047619047616,0.05155988043361859
graph_structural_with_params,california_housing,R6,R7,0.48333333333333334,0.03495095289030731
graph_structural_with_params,california_housing,R6,R8,0.75,0.0025389525432918947
graph_structural_with_params,california_housing,R6,R9,0.5595238095238095,0.044526878426703276
graph_structural_with_params,california_housing,R6,R10,0.7023809523809523,0.02533927184435758
graph_structural_with_params,california_housing,R7,R8,0.5666666666666667,0.03241200034701541
graph_structural_with_params,california_housing,R7,R9,0.47619047619047616,0.009575925536395968
graph_structural_with_params,california_housing,R7,R10,0.40476190476190477,0.06029022473466489
graph_structural_with_params,california_housing,R8,R9,0.48809523809523814,0.04198792588341138
graph_structural_with_params,california_housing,R8,R10,0.6309523809523809,0.027878224387649475
graph_structural_with_params,california_housing,R9,R10,0.7142857142857143,0.06986615027106086
string,california_housing,R1,R2,0.9716312056737588,0.002337945870650837
string,california_housing,R1,R3,0.9858156028368794,0.022921078773432024
string,california_housing,R1,R4,0.7853107344632768,0.057263130538685425
string,california_housing,R1,R5,0.4915254237288136,0.07480058974997944
string,california_housing,R1,R6,0.44501278772378516,0.04857998116071843
string,california_housing,R1,R7,0.651685393258427,0.08353093405102574
string,california_housing,R1,R8,0.5903307888040712,0.05111893370401033
string,california_housing,R1,R9,0.26291079812206575,0.09310685958742171
string,california_housing,R1,R10,0.40186915887850466,0.023240709316360852
string,california_housing,R2,R3,0.9716312056737588,0.020583132902781187
string,california_housing,R2,R4,0.7909604519774012,0.05492518466803459
string,california_housing,R2,R5,0.7853107344632768,0.0724626438793286
string,california_housing,R2,R6,0.44501278772378516,0.046242035290067596
string,california_housing,R2,R7,0.38202247191011235,0.0811929881803749
string,california_housing,R2,R8,0.5852417302798982,0.04878098783335949
string,california_housing,R2,R9,0.6525821596244131,0.09076891371677087
string,california_housing,R2,R10,0.40186915887850466,0.020902763445710015
string,california_housing,R3,R4,0.3898305084745763,0.0343420517652534
string,california_housing,R3,R5,0.7966101694915254,0.051879510976547416
string,california_housing,R3,R6,0.7212276214833759,0.02565890238728641
string,california_housing,R3,R7,0.7808988764044944,0.060609855277593716
string,california_housing,R3,R8,0.7073791348600509,0.028197854930578303
string,california_housing,R3,R9,0.6619718309859155,0.07018578081398968
string,california_housing,R3,R10,0.6588785046728972,0.0003196305429288282
string,california_housing,R4,R5,0.647887323943662,0.017537459211294015
string,california_housing,R4,R6,0.3714902807775378,0.008683149377966992
string,california_housing,R4,R7,0.3177570093457944,0.026267803512340315
string,california_housing,R4,R8,0.4258064516129032,0.0061441968346750975
string,california_housing,R4,R9,0.5020080321285141,0.035843729048736284
string,california_housing,R4,R10,0.34,0.03402242122232457
string,california_housing,R5,R6,0.7602591792656588,0.026220608589261007
string,california_housing,R5,R7,0.6401869158878505,0.0087303443010463
string,california_housing,R5,R8,0.589247311827957,0.023681656045969113
string,california_housing,R5,R9,0.8473895582329317,0.01830626983744227
string,california_housing,R5,R10,0.6,0.05155988043361859
string,california_housing,R6,R7,0.589247311827957,0.03495095289030731
string,california_housing,R6,R8,0.545816733067729,0.0025389525432918947
string,california_housing,R6,R9,0.8261682242990654,0.044526878426703276
string,california_housing,R6,R10,0.8417132216014898,0.02533927184435758
string,california_housing,R7,R8,0.9122055674518201,0.03241200034701541
string,california_housing,R7,R9,0.228,0.009575925536395968
string,california_housing,R7,R10,0.3426294820717131,0.06029022473466489
string,california_housing,R8,R9,0.2122905027932961,0.04198792588341138
string,california_housing,R8,R10,0.5380333951762524,0.027878224387649475
string,california_housing,R9,R10,0.5944055944055944,0.06986615027106086
graph_structural,diabetes,R1,R2,1.0,17.39192708333212
graph_structural,diabetes,R1,R3,1.0,501.4147135416715
graph_structural,diabetes,R1,R4,0.55,1745.0358072916715
graph_structural,diabetes,R1,R5,0.55,4297.421875
graph_structural,diabetes,R1,R6,0.45,4335.208658854168
graph_structural,diabetes,R1,R7,0.55,15745.958821614584
graph_structural,diabetes,R1,R8,0.45,15873.776041666666
graph_structural,diabetes,R1,R9,0.38095238095238093,22140.642333984375
graph_structural,diabetes,R1,R10,0.38095238095238093,5645.5104166666715
graph_structural,diabetes,R2,R3,1.0,484.0227864583394
graph_structural,diabetes,R2,R4,0.55,1727.6438802083394
graph_structural,diabetes,R2,R5,0.55,4280.029947916668
graph_structural,diabetes,R2,R6,0.45,4317.816731770836
graph_structural,diabetes,R2,R7,0.55,15728.566894531252
graph_structural,diabetes,R2,R8,0.45,15856.384114583334
graph_structural,diabetes,R2,R9,0.38095238095238093,22123.250406901043
graph_structural,diabetes,R2,R10,0.38095238095238093,5628.118489583339
graph_structural,diabetes,R3,R4,0.55,1243.62109375
graph_structural,diabetes,R3,R5,0.55,3796.0071614583285
graph_structural,diabetes,R3,R6,0.45,3833.7939453124964
graph_structural,diabetes,R3,R7,0.55,15244.544108072912
graph_structural,diabetes,R3,R8,0.45,15372.361328124995
graph_structural,diabetes,R3,R9,0.38095238095238093,21639.227620442703
graph_structural,diabetes,R3,R10,0.38095238095238093,5144.095703125
graph_structural,diabetes,R4,R5,1.0,2552.3860677083285
graph_structural,diabetes,R4,R6,0.8166666666666667,2590.1728515624964
graph_structural,diabetes,R4,R7,1.0,14000.923014322912
graph_structural,diabetes,R4,R8,0.8166666666666667,14128.740234374995
graph_structural,diabetes,R4,R9,0.6904761904761905,20395.606526692703
graph_structural,diabetes,R4,R10,0.6904761904761905,3900.474609375
graph_structural,diabetes,R5,R6,0.8166666666666667,37.78678385416788
graph_structural,diabetes,R5,R7,1.0,11448.536946614584
graph_structural,diabetes,R5,R8,0.8166666666666667,11576.354166666666
graph_structural,diabetes,R5,R9,0.6904761904761905,17843.220458984375
graph_structural,diabetes,R5,R10,0.6904761904761905,1348.0885416666715
graph_structural,diabetes,R6,R7,0.8166666666666667,11410.750162760416
graph_structural,diabetes,R6,R8,1.0,11538.567382812498
graph_structural,diabetes,R6,R9,0.8452380952380952,17805.433675130207
graph_structural,diabetes,R6,R10,0.8452380952380952,1310.3017578125036
graph_structural,diabetes,R7,R8,0.8166666666666667,127.81722005208212
graph_structural,diabetes,R7,R9,0.6904761904761905,6394.683512369791
graph_structural,diabetes,R7,R10,0.6904761904761905,10100.448404947912
graph_structural,diabetes,R8,R9,0.8452380952380952,6266.866292317709
graph_structural,diabetes,R8,R10,0.8452380952380952,10228.265624999995
graph_structural,diabetes,R9,R10,1.0,16495.131917317703
graph_structural_with_params,diabetes,R1,R2,0.6666666666666666,17.39192708333212
graph_structural_with_params,diabetes,R1,R3,0.6666666666666666,501.4147135416715
graph_structural_with_params,diabetes,R1,R4,0.35,1745.0358072916715
graph_structural_with_params,diabetes,R1,R5,0.35,4297.421875
graph_structural_with_params,diabetes,R1,R6,0.2833333333333333,4335.208658854168
graph_structural_with_params,diabetes,R1,R7,0.35,15745.958821614584
graph_structural_with_params,diabetes,R1,R8,0.2833333333333333,15873.776041666666
graph_structural_with_params,diabetes,R1,R9,0.23809523809523808,22140.642333984375
graph_structural_with_params,diabetes,R1,R10,0.23809523809523808,5645.5104166666715
graph_structural_with_params,diabetes,R2,R3,0.6666666666666666,484.0227864583394
graph_structural_with_params,diabetes,R2,R4,0.45,1727.6438802083394
graph_structural_with_params,diabetes,R2,R5,0.35,4280.029947916668
graph_structural_with_params,diabetes,R2,R6,0.2833333333333333,4317.816731770836
graph_structural_with_params,diabetes,R2,R7,0.35,15728.566894531252
graph_structural_with_params,diabetes,R2,R8,0.2833333333333333,15856.384114583334
graph_structural_with_params,diabetes,R2,R9,0.23809523809523808,22123.250406901043
graph_structural_with_params,diabetes,R2,R10,0.23809523809523808,5628.118489583339
graph_structural_with_params,diabetes,R3,R4,0.35,1243.62109375
graph_structural_with_params,diabetes,R3,R5,0.45,3796.0071614583285
graph_structural_with_params,diabetes,R3,R6,0.3666666666666667,3833.7939453124964
graph_structural_with_params,diabetes,R3,R7,0.35,15244.544108072912
graph_structural_with_params,diabetes,R3,R8,0.2833333333333333,15372.361328124995
graph_structural_with_params,diabetes,R3,R9,0.30952380952380953,21639.227620442703
graph_structural_with_params,diabetes,R3,R10,0.30952380952380953,5144.095703125
graph_structural_with_params,diabetes,R4,R5,0.7,2552.3860677083285
graph_structural_with_params,diabetes,R4,R6,0.48333333333333334,2590.1728515624964
graph_structural_with_params,diabetes,R4,R7,0.7,14000.923014322912
graph_structural_with_params,diabetes,R4,R8,0.48333333333333334,14128.740234374995
graph_structural_with_params,diabetes,R4,R9,0.47619047619047616,20395.606526692703
graph_structural_with_params,diabetes,R4,R10,0.40476190476190477,3900.474609375
graph_structural_with_params,diabetes,R5,R6,0.5666666666666667,37.78678385416788
graph_structural_with_params,diabetes,R5,R7,0.7,11448.536946614584
graph_structural_with_params,diabetes,R5,R8,0.48333333333333334,11576.354166666666
graph_structural_with_params,diabetes,R5,R9,0.5476190476190476,17843.220458984375
graph_structural_with_params,diabetes,R5,R10,0.47619047619047616,1348.0885416666715
graph_structural_with_params,diabetes,R6,R7,0.48333333333333334,11410.750162760416
graph_structural_with_params,diabetes,R6,R8,0.75,11538.567382812498
graph_structural_with_params,diabetes,R6,R9,0.5595238095238095,17805.433675130207
graph_structural_with_params,diabetes,R6,R10,0.7023809523809523,1310.3017578125036
graph_structural_with_params,diabetes,R7,R8,0.5666666666666667,127.81722005208212
graph_structural_with_params,diabetes,R7,R9,0.47619047619047616,6394.683512369791
graph_structural_with_params,diabetes,R7,R10,0.40476190476190477,10100.448404947912
graph_structural_with_params,diabetes,R8,R9,0.48809523809523814,6266.866292317709
graph_structural_with_params,diabetes,R8,R10,0.6309523809523809,10228.265624999995
graph_structural_with_params,diabetes,R9,R10,0.7142857142857143,16495.131917317703
string,diabetes,R1,R2,0.9716312056737588,17.39192708333212
string,diabetes,R1,R3,0.9858156028368794,501.4147135416715
string,diabetes,R1,R4,0.7853107344632768,1745.0358072916715
string,diabetes,R1,R5,0.4915254237288136,4297.421875
string,diabetes,R1,R6,0.44501278772378516,4335.208658854168
string,diabetes,R1,R7,0.651685393258427,15745.958821614584
string,diabetes,R1,R8,0.5903307888040712,15873.776041666666
string,diabetes,R1,R9,0.26291079812206575,22140.642333984375
string,diabetes,R1,R10,0.40186915887850466,5645.5104166666715
string,diabetes,R2,R3,0.9716312056737588,484.0227864583394
string,diabetes,R2,R4,0.7909604519774012,1727.6438802083394
string,diabetes,R2,R5,0.7853107344632768,4280.029947916668
string,diabetes,R2,R6,0.44501278772378516,4317.816731770836
string,diabetes,R2,R7,0.38202247191011235,15728.566894531252
string,diabetes,R2,R8,0.5852417302798982,15856.384114583334
string,diabetes,R2,R9,0.6525821596244131,22123.250406901043
string,diabetes,R2,R10,0.40186915887850466,5628.118489583339
string,diabetes,R3,R4,0.3898305084745763,1243.62109375
string,diabetes,R3,R5,0.7966101694915254,3796.0071614583285
string,diabetes,R3,R6,0.7212276214833759,3833.7939453124964
string,diabetes,R3,R7,0.7808988764044944,15244.544108072912
string,diabetes,R3,R8,0.7073791348600509,15372.361328124995
string,diabetes,R3,R9,0.6619718309859155,21639.227620442703
string,diabetes,R3,R10,0.6588785046728972,5144.095703125
string,diabetes,R4,R5,0.647887323943662,2552.3860677083285
string,diabetes,R4,R6,0.3714902807775378,2590.1728515624964
string,diabetes,R4,R7,0.3177570093457944,14000.923014322912
string,diabetes,R4,R8,0.4258064516129032,14128.740234374995
string,diabetes,R4,R9,0.5020080321285141,20395.606526692703
string,diabetes,R4,R10,0.34,3900.474609375
string,diabetes,R5,R6,0.7602591792656588,37.78678385416788
string,diabetes,R5,R7,0.6401869158878505,11448.536946614584
string,diabetes,R5,R8,0.589247311827957,11576.354166666666
string,diabetes,R5,R9,0.8473895582329317,17843.220458984375
string,diabetes,R5,R10,0.6,1348.0885416666715
string,diabetes,R6,R7,0.589247311827957,11410.750162760416
string,diabetes,R6,R8,0.545816733067729,11538.567382812498
string,diabetes,R6,R9,0.8261682242990654,17805.433675130207
string,diabetes,R6,R10,0.8417132216014898,1310.3017578125036
string,diabetes,R7,R8,0.9122055674518201,127.81722005208212
string,diabetes,R7,R9,0.228,6394.683512369791
string,diabetes,R7,R10,0.3426294820717131,10100.448404947912
string,diabetes,R8,R9,0.2122905027932961,6266.866292317709
string,diabetes,R8,R10,0.5380333951762524,10228.265624999995
string,diabetes,R9,R10,0.5944055944055944,16495.131917317703
graph_structural,iris,C1,C2,1.0,0.15103352069854736
graph_structural,iris,C1,C3,0.55,0.15504771471023548
graph_structural,iris,C1,C4,0.55,0.19630444049835205
graph_structural,iris,C1,C5,0.55,0.4336158037185669
graph_structural,iris,C1,C6,0.45,0.14287680387496948
